RaceID,Name,Distance,Hours,Minutes,Trail,Place,Rank,WinnerH,WinnerM,Climbing,Finishers,Starters
,Plain 100,108,35,17,1,12,,29,22,21698,13,28
,Angeles Crest,100,29,25,1,74,65.37,,,19762,130,
,Armstrong Redwoods,31,6,0,1,6,76.41,,,6882,16,
,Zane Grey,50,13,59,1,57,67.31,,,8971,96,
,Bear,100,29,10,1,94,65.17,,,20832,207,
,IMTUF,100,31,46,1,31,73.52,,,17064,57,
,Tahoe 200,205,78,33,1,13,77.6,,,35117,53,
,Tushar 93K,57.66,16,12,1,19,72.35,,,16405,45,
,Big Basin 50K,31,5,8,1,11,78.5,,,4709,106,
,SF Solstice,106.1,24,0,1,9,80,,,0,60,
,Zion 100,100,27,9,1,55,64.4,,,10000,136,
,4MPH Challenge,114,,,1,1,,,,8528,24,
,Way Too Cool 50K,31,4,37,1,110,66.69,3,5,4800,979,
,Montara Mountain 50K,31,5,34,1,9,72.04,,,6700,31,
,Ordnance 100K,62,12,58,1,12,64.87,,,7200,40,
,Fat Dog 120,120,36,52,1,29,69.87,,,"28,453.70",84,
,Bighorn 100,100,27,32,1,50,69.6,,,16900,149,
,Santa Barbara 100,100,31,57,1,7,83.7,,,24147,18,
,2014 Miwok 100K,62,15,1,1,262,59.51,,,11800,356,
,JFK 50 Miler,50,10,31,0.5,506,53.68,,,3300,809,
,2013 Philadelphia Marathon (3:32),26.2,3,32,0,1702,,2,17,550,10914,
,2013 Western States 100 (25:30),100,25,30,1,113,59.94,,,18090,277,
,2013 Bryce 100 Miler (25:56),100,25,56,1,13,76.62,,,18500,114,
,2013 Bear Mountain 50 Miler (12:09),50,12,9,1,127,59.45,,,6880,,
,2013 Rodeo Valley 50K (5:18),31,5,18,1,21,69.46,,,5550,78,
,2013 Febapple Frozen 50 Miler (9:05),50,9,5,1,6,83.81,,,7867,20,
,2013 Golden Gate 50K (5:02),31,5,2,1,4,88.46,,,6320,56,
,2012 Wasatch Front 100 Mile Endurance Run (29:48),100,29,48,1,96,65.6,,,26882,213,289
,2012 Lewa Conservancy Marathon (3:47),26.2,3,47,1,23,,2,19,,115,
,2011 San Diego 100 Mile Endurance Run (26:32),100,26,32,1,41,67.83,,,15800,106,
,2011 Bishop High Sierra 100K (13:41),62,13,41,1,17,70.69,,,9361,41,
,2011 PCT 50 Miler (9:35),50,9,35,1,23,74.96,,,7897,99,
,2011 Tilden 50K (5:10),31,5,10,1,5,83.49,,,6127,21,
,2011 Badger Mountain Challenge 100-miler (DNF),90,24,0,1,,,,,14000,17,
,2011 Pirates Cove 50K (5:57),31,5,57,1,22,69.99,,,,41,
,2011 Redwood 50K (5:14),31,5,14,1,14,77.57,,,,,
,2011 Lake Chabot 50K (5:12),31,5,12,1,14,69.33,,,,,
,2010 Mount Diablo 50K (7:57),31,7,57,1,35,66.12,,,,,
,2010 Redwood Park 50K (6:03),31,6,3,1,14,74.61,,,,,
,2009 San Francisco One-Day (94.4 miles),94.4,24,0,0.5,18,67.42,,,,,
,2009 Diablo 50K (7:19),31,7,19,1,15,69.84,,,,,
,2009 Dick Collins Firetrails 50 Miler (10:20),50,10,20,1,136,62.98,,,,,
,2009 Headlands Hundred (26:48),100,26,48,1,23,69.95,,,,,
,2009 Diablo 50 Miler (12:39),50,12,39,1,37,79.42,,,,,
,2009 Pirates Cove 50K+ (5:21),31,5,21,1,23,77.89,,,,,
,2009 Sequoia 50K++ (6:20),31,6,20,1,50,65.16,,,,,
,2008 Rodeo Beach 50K (5:32),31,5,32,1,23,72.32,,,,,
,2008 Muir Beach 50K (6:09),31,6,9,1,,,,,,,
,2008 San Francisco One-Day (82.2 miles),82.2,24,0,0.5,26,63.13,,,,,
,2008 Dick Collins Firetrails 50 Miler (9:52),50,9,52,1,71,68.1,,,,,
,2008 Redwood Park 50K (7:41),31,7,41,1,26,64.39,,,,,
,2008 Sequoia 50K++ (8:01),31,8,1,1,50,53.1,,,,,
,2008 Diablo 50 Miler (13:32),50,13,32,1,45,68.82,,,,,
,2008 Sequoia 50K+Ê (7:25),31,7,25,1,51,52.92,,,,,
,2007 California Internation Marathon (3:57),26.2,3,57,0,,,,,,,
,2007 Diablo 50 Miler (14:49),50,14,49,1,63,60.93,,,,,
,2006 Nairobi Marathon (5:00),26.2,5,0,0,,,,,,,
,2006 Cascade Crest Classic 100 Miler (30:31),100,30,31,1,30,67.07,,,,,
,2006 Kat'Cina Mosa 100K (17:10),62,17,10,1,13,75.03,,,,,
,2006 Deseret News Marathon (4:13),26.2,4,13,0,,,,,,,
,2006 Diablo 50 Miler (15:38),50,15,38,1,28,72.58,,,,,
,2006 Pirate's Cove 50K (6:32),31,6,32,1,21,62.63,,,,,
,2005 St. George Marathon (3:00:23),26.2,3,0,0,,,,,,,
,2005 Angel Island 25K (1:55),15.5,1,55,1,,,,,,,
,2005 Diablo 50 Miler (14:52),50,14,52,1,28,72.58,,,,,
,2004 Woodside 50K (6:25),31,6,25,1,14,73.53,,,,,
,2004 Silicon Valley Marathon (3:57),26.2,3,57,0,,,,,,,
,2004 Boston Marathon (4:03),26.2,4,3,0,,,,,,,
,2004 Canyondlands Half Marathon (1:30),13.1,1,30,0,,,,,,,
,2003 St. George Marathon (3:06:44),26.2,3,6,0,,,,,,,
,2002 St. George Marathon (3:40),26.2,3,40,0,,,,,,,
1,2001 Top of Utah Marathon (4:09),26.2,4,9,0,,,,,,,
